ЖОО/ВУЗ коды,ЖОО/ВУЗ атауы,Білім беру шифры,БББТ/ГОП шифры,Мамандық (ГОП/БББТ),Мин. балл,1 профильный предмет,2 профильный предмет,Общий конкурс (2023),Сельская квота (2023),Абай,Атырау,Ауыл жастары,Жетісу,Маңғыстау,Негізгі,Түркістан,Шымкент қ.,Ұлытау
174,М.С.Нарикбаев атындағы КАЗГЮУ университеті - Университет КАЗГЮУ имени М.С.Нарикбаева,6B02,B036,Аударма ісі - Переводческое дело,125,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
302,«SDU University» мекемесі - Учреждение «SDU University»,6B02,B036,Аударма ісі - Переводческое дело,120,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
23,Абылай хан атындағы Қазақ халықаралық қатынастар және әлем тілдері университеті - Казахский университет международных отношений и мировых языков имени Абылай хана,6B02,B036,Аударма ісі - Переводческое дело,100,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
13,Л.Н. Гумилев атындағы Еуразия ұлттық университеті - Евразийский национальный университет имени Л.Н. Гумилева,6B02,B036,Аударма ісі - Переводческое дело,85,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
503,«Нұр-Мүбарак» Египет ислам мәдениеті университеті - Египетский университет исламской культуры «Нур-Мубарак»,6B02,B036,Аударма ісі - Переводческое дело,70,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
27,Әл-Фараби атындағы Қазақ ұлттық университеті - Казахский национальный университет им.аль-Фараби,6B02,B036,Аударма ісі - Переводческое дело,65,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
7,Абай атындағы Қазақ ұлттық педагогикалық университеті - Казахский национальный педагогический университет имени Абая,6B02,B036,Аударма ісі - Переводческое дело,65,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
37,Қожа Ахмет Ясауи атындағы Халықаралық қазақ-түрік университеті - Международный казахско-турецкий университет имени Ходжи Ахмеда Ясави,6B02,B036,Аударма ісі - Переводческое дело,65,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
25,Қазақ ұлттық қыздар педагогикалық университеті - Казахский национальный женский педагогический университет,6B02,B036,Аударма ісі - Переводческое дело,65,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
185,Астана халықаралық университеті - Международный университет Астана,6B02,B036,Аударма ісі - Переводческое дело,60,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
5,Қ. Жұбанов атындағы Ақтөбе өңірлік университеті - Актюбинский региональный университет имени К.Жубанова,6B02,B036,Аударма ісі - Переводческое дело,55,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
31,Е.А. Бөкетов атындағы Қарағанды университеті - Карагандинский университет имени академика Е.А. Букетова,6B02,B036,Аударма ісі - Переводческое дело,55,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
79,Каспий қоғамдық университеті - Каспийский общественный университет,6B02,B036,Аударма ісі - Переводческое дело,55,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
184,«Тұран – Астана» университеті - Университет «Туран-Астана»,6B02,B036,Аударма ісі - Переводческое дело,55,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
22,Халықаралық білім беру корпорациясы - Международная образовательная корпорация,6B02,B036,Аударма ісі - Переводческое дело,50,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
196,Өзбекәлі Жәнібеков атындағы Оңтүстік Қазақстан педагогикалық университеті - Южно-Казахстанский педагогический университет имени Өзбекәлі Жәнібеков,6B02,B036,Аударма ісі - Переводческое дело,50,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
198,Батыс Қазақстан инновациялық-технологиялық университеті - Западно-Казахстанский инновационно-технологический университет,6B02,B036,Аударма ісі - Переводческое дело,50,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
11,Сәрсен Аманжолов атындағы Шығыс Қазақстан университеті - Восточно-Казахстанский университет имени Сарсена Аманжолова,6B02,B036,Аударма ісі - Переводческое дело,50,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
10,Халел Досмұхамедов атындағы Атырау университеті - Атырауский университет имени Халела Досмухамедова,6B02,B036,Аударма ісі - Переводческое дело,50,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
15,Ілияс Жансүгіров атындағы Жетісу университеті - Жетысуский университет имени Ильяса Жансугурова,6B02,B036,Аударма ісі - Переводческое дело,50,Иностранный язык,Всемирная история,118,-,,10,,,10,206,,,
